CITY ID,Airport Code,City,State,Name,code,number of bad weather,portion of good weather
1,KBHM,Birmingham,AL,"Birmingham, AL",KBHM,876,282.7866355
2,KLIT,Little Rock,AR,"Little Rock, AR",KLIT,1001,281.7637635
3,KPHX,Phoenix,AZ,"Phoenix, AZ",KPHX,240,288.3816547
4,KTUS,Tucson,AZ,"Tucson, AZ",KTUS,347,288.1171749
5,KBFL,Bakersfield,CA,"Bakersfield, CA",KBFL,418,284.6733337
6,KFAT,Fresno,CA,"Fresno, CA",KFAT,476,281.8932878
7,KLAX,Los Angeles,CA,"Los Angeles, CA",KLAX,727,283.2999648
8,KMOD,Modesto,CA,"Modesto, CA",KMOD,512,281.3200817
9,KCMA,Oxnard,CA,"Oxnard, CA",KCMA,600,284.9707444
10,KRIV,Riverside,CA,"Riverside, CA",KROC,1305,256.5876441
11,KSAC,Sacramento,CA,"Sacramento, CA",KSAN,538,285.9276599
12,KSAN,San Diego,CA,"San Diego, CA",KSAT,844,282.9451463
13,KSFO,San Francisco,CA,"San Francisco, CA",KSJC,392,287.1191352
14,KSJC,San Jose,CA,"San Jose, CA",KSLC,1117,168347.1667
15,KSCK,Stockton,CA,"Stockton, CA",KSDF,1049,278.393308
16,KCOS,Colorado Springs,CO,"Colorado Springs, CO",KCOS,1246,275.9784835
17,KDEN,Denver,CO,"Denver, CO",KDEN,1308,276.0374582
19,KBDL,Hartford,CT,"Hartford, CT",KBDL,1369,273.8144543
21,KDCA,Washington,DC,"Washington, DC",KDCA,1114,280.731825
22,KFMY,Cape Coral,FL,"Cape Coral, FL",KFMY,674,283.9551395
23,KJAX,Jacksonville,FL,"Jacksonville, FL",KJAX,883,279.8433014
24,KTPA,Lakeland,FL,"Lakeland, FL",KTPA,715,284.2255438
25,KMIA,Miami,FL,"Miami, FL",KMIA,608,284.7864883
26,KSRQ,North Port,FL,"North Port, FL",KSRQ,757,283.5617883
27,KMCO,Orlando,FL,"Orlando, FL",KMCO,811,283.3202623
28,KMLB,Palm Bay,FL,"Palm Bay, FL",KMLB,735,283.9712647
30,KATL,Atlanta,GA,"Atlanta, GA",KATL,1102,279.2708101
31,KAGS,Augusta,GA,"Augusta, GA",KAGS,962,278.3229671
32,PHNL,Honolulu,HI,"Honolulu, HI",PHNL,398,287.4964935
33,KDSM,Des Moines,IA,"Des Moines, IA",KDSM,1330,272.4712123
34,KBOI,Boise City,ID,"Boise City, ID",KBOI,997,281.3541378
35,KORD,Chicago,IL,"Chicago, IL",KORD,1297,271.9195758
36,KIND,Indianapolis,IN,"Indianapolis, IN",KIND,1247,271.7432307
37,KICT,Wichita,KS,"Wichita, KS",KICT,1112,279.6608869
38,KSDF,Louisville,KY,"Louisville, KY",KSEA,1182,278.808783
39,KBTR,Baton Rouge,LA,"Baton Rouge, LA",KBTR,886,280.6800542
40,KMSY,New Orleans,LA,"New Orleans, LA",KMSY,838,281.4663242
41,KBOS,Boston,MA,"Boston, MA",KBOS,1542,271.378054
42,KCEF,Springfield,MA,"Springfield, MA",KCEF,1097,275.8898013
43,KORH,Worcester,MA,"Worcester, MA",KORH,1650,260.6289733
44,KBWI,Baltimore,MD,"Baltimore, MD",KBWI,1227,277.9949399
45,KPWM,Portland,ME,"Portland, ME",KPWM,1611,269.082826
46,KDTW,Detroit,MI,"Detroit, MI",KDTW,1335,270.8159536
47,KGRR,Grand Rapids,MI,"Grand Rapids, MI",KGRR,1331,261.794627
48,KMSP,Minneapolis,MN,"Minneapolis, MN",KMSP,1212,269.3740296
49,KMCI,Kansas City,MO,"Kansas City, MO",KMCI,1241,277.2590804
50,KSTL,St. Louis,MO,"St. Louis, MO",KSTL,1182,276.7575612
51,KJAN,Jackson,MS,"Jackson, MS",KJAN,964,281.4809708
52,KCLT,Charlotte,NC,"Charlotte, NC",KCLT,1079,280.4857786
53,KRDU,Durham,NC,"Durham, NC",KRDU,1182,279.3704512
54,KGSO,Greensboro,NC,"Greensboro, NC",KGSO,1241,279.6077876
55,KRDU,Raleigh,NC,"Raleigh, NC",KRIC,1162,279.6668282
57,KOMA,Omaha,NE,"Omaha, NE",KOMA,1202,276.6347499
58,KABQ,Albuquerque,NM,"Albuquerque, NM",KABQ,772,286.3248036
59,KLAS,Las Vegas,NV,"Las Vegas, NV",KLAS,224,288.4799811
60,KALB,Albany,NY,"Albany, NY",KALB,1394,271.7096645
61,KBUF,Buffalo,NY,"Buffalo, NY",KBUF,1509,254.3547316
62,KLGA,New York,NY,"New York, NY",KLGA,1186,278.3731828
63,KPOU,Poughkeepsie,NY,"Poughkeepsie, NY",KPOU,1376,276.1196412
64,KROC,Rochester,NY,"Rochester, NY",KSAC,572,281.3377111
65,KSYR,Syracuse,NY,"Syracuse, NY",KSYR,1337,253.9793572
66,KCAK,Akron,OH,"Akron, OH",KCAK,1408,259.3670441
67,KCVG,Cincinnati,OH,"Cincinnati, OH",KCVG,1293,273.5257393
68,KCLE,Cleveland,OH,"Cleveland, OH",KCLE,1331,261.8562141
69,KCMH,Columbus,OH,"Columbus, OH",KCMH,1237,269.4097621
70,KDAY,Dayton,OH,"Dayton, OH",KDAY,1319,272.2306142
71,KTOL,Toledo,OH,"Toledo, OH",KTOL,1379,273.943196
72,KYNG,Youngstown,OH,"Youngstown, OH",KYNG,1461,254.0832823
73,KOKC,Oklahoma City,OK,"Oklahoma City, OK",KOKC,1156,280.6400003
74,KTUL,Tulsa,OK,"Tulsa, OK",KTUL,398,287.4964935
75,KPDX,Portland,OR,"Portland, OR",KPDX,854,281.443165
76,KABE,Allentown,PA,"Allentown, PA",KABE,1360,276.3953094
77,KMDT,Harrisburg,PA,"Harrisburg, PA",KMDT,1322,277.6092266
78,KLNS,Lancaster,PA,"Lancaster, PA",KLNS,1325,275.9420791
79,KPHL,Philadelphia,PA,"Philadelphia, PA",KPHL,1199,279.0047663
80,KPIT,Pittsburgh,PA,"Pittsburgh, PA",KPIT,1273,262.5736717
81,KAVP,Scranton,PA,"Scranton, PA",KAVP,1394,272.9965885
82,KPVD,Providence,RI,"Providence, RI",KPVD,1410,273.2490823
83,KCHS,Charleston,SC,"Charleston, SC",KCHS,929,281.3314404
84,KCAE,Columbia,SC,"Columbia, SC",KCAE,999,281.7610232
85,KGSP,Greenville,SC,"Greenville, SC",KGSP,1106,280.5549546
86,KCHA,Chattanooga,TN,"Chattanooga, TN",KCHA,585,286.9689082
87,KTYS,Knoxville,TN,"Knoxville, TN",KTYS,1116,277.9598756
88,KMEM,Memphis,TN,"Memphis, TN",KMEM,978,281.8625793
89,KBNA,Nashville,TN,"Nashville, TN",KBNA,1033,280.2960553
90,KAUS,Austin,TX,"Austin, TX",KAUS,915,282.4093837
91,KDFW,Dallas,TX,"Dallas, TX",KDFW,940,283.7312599
92,KELP,El Paso,TX,"El Paso, TX",KELP,529,287.5254873
93,KIAH,Houston,TX,"Houston, TX",KIAH,883,280.8166573
94,KMFE,McAllen,TX,"McAllen, TX",KMFE,1650,260.6289733
95,KSAT,San Antonio,TX,"San Antonio, TX",KSCK,526,281.1467009
96,KOGD,Ogden,UT,"Ogden, UT",KOGD,1282,277.4011318
97,KPVU,Provo,UT,"Provo, UT",KPVU,325,285.2298451
99,KRIC,Richmond,VA,"Richmond, VA",KRIV,493,284.7086073
100,KORF,Virginia Beach,VA,"Virginia Beach, VA",KORF,1105,281.1547092
101,KSEA,Seattle,WA,"Seattle, WA",KSFO,462,286.1123494
102,KMSN,Madison,WI,"Madison, WI",KMSN,1438,267.3776824
103,KMKE,Milwaukee,WI,"Milwaukee, WI",KMKE,1481,270.0194203
